notification_id,event_id,event_type,user_id,source_user_id,post_id,comment_id,created_at,device,delivery_channel,priority,seen,status,app_version,country,latency_ms,motivo_rechazo,rechazado
N00048,E00048,LIKE,U0121,U0005,P0048,,2026-05-06 13:14:41,MOBILE,IN_APP,LOW,True,SENT,1.1.0,CL,20559,,0
N01041,E01041,COMMENT,U0190,U0039,P0042,C01041,2026-05-05 10:41:36,WEB,EMAIL,MEDIUM,False,SENT,2.0.0,PE,408,,0
N01397,E01397,LIKE,U0147,U0045,P0029,,2026-05-02 08:21:15,WEB,PUSH,HIGH,False,FAILED,1.0.0,AR,16267,,0
N01502,E01502,COMMENT,U0055,U0187,P0024,C01502,2026-04-29 16:48:56,WEB,EMAIL,LOW,True,PENDING,1.0.0,MX,9145,,0
N01655,E01655,FOLLOW,U0103,U0096,,,2026-04-28 08:24:09,MOBILE,PUSH,LOW,False,PENDING,2.0.0,MX,4686,,0
N01643,E01643,LIKE,U0155,U0070,P0043,,2026-04-17 18:00:48,WEB,EMAIL,MEDIUM,True,FAILED,1.0.0,MX,8985,,0
N01039,E01039,COMMENT,U0013,U0136,P0004,C01039,2026-04-26 08:36:27,WEB,IN_APP,LOW,False,PENDING,1.2.0,CL,24265,,0
N00494,E00494,COMMENT,U0017,U0139,P0042,C00494,2026-04-22 16:53:51,MOBILE,EMAIL,MEDIUM,True,PENDING,1.0.0,PE,23826,,0
N00382,E00382,FOLLOW,U0061,U0170,,,2026-04-07 19:44:47,MOBILE,EMAIL,LOW,True,PENDING,1.0.0,CL,2290,,0
N00389,E00389,FOLLOW,U0062,U0133,,,2026-04-12 19:43:17,WEB,IN_APP,MEDIUM,False,SENT,1.0.0,AR,4676,,0
N01062,E01062,LIKE,U0141,U0183,P0019,,2026-04-10 13:19:28,MOBILE,PUSH,MEDIUM,True,PENDING,1.1.0,AR,22501,,0
N00205,E00205,COMMENT,U0036,U0163,P0020,C00205,2026-04-29 18:09:45,WEB,PUSH,MEDIUM,True,PENDING,2.0.0,MX,17710,,0
N01756,E01756,COMMENT,U0141,U0004,P0044,C01756,2026-04-15 16:23:50,WEB,IN_APP,MEDIUM,True,SENT,1.1.0,PE,-4673,latency_ms no puede ser negativo,1
N00895,E00895,COMMENT,U0019,U0145,P0040,C00895,2026-04-11 20:51:02,MOBILE,IN_APP,MEDIUM,False,FAILED,1.0.0,MX,4442,,0
N01474,E01474,COMMENT,U0149,U0180,P0009,C01474,2026-05-04 12:53:28,MOBILE,EMAIL,HIGH,False,PENDING,1.1.0,CL,3134,,0
N00998,E00998,COMMENT,U0054,U0005,P0027,C00998,2026-05-03 12:17:29,WEB,IN_APP,HIGH,True,SENT,1.1.0,CL,23432,,0
N00672,E00672,COMMENT,U0147,U0041,P0024,C00672,2026-04-20 09:08:48,WEB,EMAIL,LOW,False,FAILED,1.2.0,AR,19335,,0
N01278,E01278,LIKE,U0106,U0028,P0022,,2026-04-23 10:09:46,MOBILE,PUSH,HIGH,False,PENDING,2.0.0,MX,21811,,0
N00794,E00794,LIKE,U0061,U0093,P0001,,2026-04-10 08:23:35,MOBILE,PUSH,MEDIUM,True,SENT,1.2.0,PE,4766,,0
N00301,E00301,FOLLOW,U0180,U0036,,,2026-04-11 09:32:46,WEB,EMAIL,LOW,True,SENT,2.0.0,AR,20155,,0
N01210,E01210,LIKE,U0060,U0057,P0040,,2026-04-19 20:17:59,WEB,IN_APP,HIGH,True,SENT,1.0.0,PE,7404,,0
N00001,E00001,FOLLOW,U0029,U0007,,,2026-04-29 11:14:08,MOBILE,IN_APP,LOW,False,SENT,1.0.0,CL,7364,,0
N01261,E01261,FOLLOW,U0158,U0072,,,2026-04-26 20:05:22,WEB,PUSH,LOW,True,FAILED,1.2.0,CL,20527,,0
N00792,E00792,COMMENT,U0082,U0127,P0028,C00792,2026-04-15 14:38:50,WEB,EMAIL,HIGH,True,FAILED,1.1.0,MX,13918,,0
N01211,E01211,LIKE,U0099,U0053,P0035,,2026-05-07 10:05:36,WEB,IN_APP,HIGH,False,SENT,1.0.0,AR,13516,,0
N01277,E01277,FOLLOW,U0012,U0188,,,2026-04-16 14:08:13,MOBILE,PUSH,MEDIUM,True,FAILED,1.1.0,CL,23013,,0
N01949,E01949,COMMENT,U0175,U0028,P0012,C01949,fecha-invalida,MOBILE,PUSH,HIGH,False,FAILED,1.0.0,CL,5268,timestamp_formato_invalido,1
N01588,E01588,FOLLOW,U0151,U0063,,,2026-04-30 21:45:54,WEB,IN_APP,MEDIUM,False,PENDING,1.1.0,PE,13632,,0
N00164,E00164,COMMENT,U0165,U0140,P0034,C00164,2026-04-09 10:54:32,WEB,EMAIL,MEDIUM,True,SENT,1.2.0,AR,24157,,0
N01338,E01338,LIKE,U0165,U0114,P0012,,2026-05-01 12:35:46,MOBILE,IN_APP,LOW,False,FAILED,1.2.0,AR,17246,,0
N00120,E01714,LIKE,U0028,U0148,P0043,,2026-04-27 16:37:59,MOBILE,PUSH,LOW,False,FAILED,2.0.0,PE,24202,,0
N00977,E00977,FOLLOW,U0027,U0162,,,2026-04-10 08:10:26,WEB,EMAIL,MEDIUM,False,FAILED,1.0.0,AR,11931,,0
N01007,E01007,LIKE,U0159,U0058,P0009,,2026-04-18 16:05:38,WEB,IN_APP,HIGH,True,PENDING,1.1.0,AR,18855,,0
N01699,E01699,LIKE,U0006,U0015,P0046,,2026-04-22 19:37:53,WEB,IN_APP,HIGH,True,FAILED,1.1.0,AR,9071,,0
N00408,E00408,COMMENT,U0196,U0163,P0028,C00408,2026-04-27 17:15:36,MOBILE,IN_APP,HIGH,False,FAILED,1.2.0,PE,15024,,0
N01984,E01984,FOLLOW,U0019,U0096,,,2027-06-19 12:00:00,WEB,EMAIL,LOW,True,SENT,1.1.0,AR,1977,created_at no puede ser futuro,1
N01890,E01890,LIKE,U0190,U0061,P0041,,2026-05-03 13:08:01,WEB,PHONE,HIGH,False,SENT,1.1.0,MX,12357,delivery_channel fuera de dominio,1
N01257,E01787,FOLLOW,U0110,U0016,,,2026-04-11 14:45:26,WEB,PUSH,MEDIUM,False,SENT,2.0.0,AR,18319,,0
N00679,E00679,COMMENT,U0087,U0058,P0027,C00679,2026-04-16 20:25:48,WEB,EMAIL,HIGH,False,FAILED,1.0.0,CL,4759,,0
N01544,E01544,LIKE,U0144,U0087,P0016,,2026-04-14 12:29:11,MOBILE,PUSH,MEDIUM,False,FAILED,1.1.0,AR,8245,,0
N00706,E00706,FOLLOW,U0115,U0163,,,2026-04-29 21:50:30,WEB,PUSH,LOW,False,PENDING,1.1.0,MX,14663,,0
N01393,E01393,LIKE,U0045,U0040,P0037,,2026-04-08 17:13:47,MOBILE,IN_APP,MEDIUM,True,FAILED,2.0.0,PE,21736,,0
N01572,E01572,COMMENT,U0122,U0012,P0024,C01572,2026-04-29 17:04:51,MOBILE,EMAIL,LOW,False,SENT,2.0.0,PE,2559,,0
N01228,E01228,LIKE,U0113,U0065,P0032,,2026-04-23 19:29:23,WEB,EMAIL,LOW,True,PENDING,1.0.0,AR,4968,,0
N00988,E00988,LIKE,U0082,U0033,P0037,,2026-04-25 18:29:00,WEB,IN_APP,MEDIUM,False,SENT,1.2.0,MX,8675,,0
N01618,E01618,FOLLOW,U0180,U0047,,,2026-04-24 18:42:13,WEB,EMAIL,LOW,False,SENT,1.2.0,AR,15022,,0
N00198,E00198,LIKE,U0034,U0023,P0012,,2026-04-23 16:35:32,MOBILE,EMAIL,MEDIUM,True,SENT,1.2.0,CL,19760,,0
N00322,E00322,LIKE,U0014,U0172,P0004,,2026-04-29 20:50:10,WEB,PUSH,MEDIUM,True,SENT,1.2.0,AR,24893,,0
N00716,E00716,LIKE,U0199,U0179,P0027,,2026-04-24 18:18:46,MOBILE,IN_APP,MEDIUM,True,PENDING,1.1.0,AR,6688,,0
N01174,E01174,COMMENT,U0007,U0172,P0018,C01174,2026-04-30 19:28:51,MOBILE,PUSH,LOW,False,FAILED,2.0.0,AR,23647,,0
N01911,E01911,LIKE,U0053,U0020,P0027,,2026-04-21 19:02:25,WEB,IN_APP,MEDIUM,False,SENT,2.0.0,CL,-1962,latency_ms no puede ser negativo,1
N01225,E01225,COMMENT,U0166,U0134,P0023,C01225,2026-04-19 19:53:47,WEB,IN_APP,MEDIUM,False,SENT,2.0.0,AR,1393,,0
N00681,E00681,COMMENT,U0028,U0085,P0037,C00681,2026-04-17 12:05:10,MOBILE,EMAIL,LOW,True,FAILED,2.0.0,CL,6317,,0
N01556,E01556,COMMENT,U0103,U0175,P0021,C01556,2026-05-01 11:29:00,WEB,EMAIL,LOW,True,FAILED,1.0.0,PE,5197,,0
N00300,E00300,COMMENT,U0032,U0141,P0017,C00300,2026-04-15 10:13:44,MOBILE,EMAIL,HIGH,False,PENDING,1.0.0,PE,20607,,0
N00227,E00227,COMMENT,U0024,U0168,P0024,C00227,2026-05-05 13:42:57,MOBILE,EMAIL,HIGH,True,PENDING,1.2.0,AR,14265,,0
N00658,E00658,LIKE,U0153,U0183,P0005,,2026-04-12 21:12:57,MOBILE,IN_APP,HIGH,False,PENDING,2.0.0,MX,23944,,0
N01764,E01764,COMMENT,U0067,U0067,P0010,C01764,2026-04-21 21:51:37,MOBILE,EMAIL,MEDIUM,False,PENDING,1.1.0,PE,10716,self-event: user_id igual a source_user_id,1
N00483,E00483,FOLLOW,U0047,U0081,,,2026-05-07 18:00:53,MOBILE,IN_APP,LOW,False,SENT,1.0.0,MX,11718,,0
N00593,E00593,FOLLOW,U0146,U0034,,,2026-04-10 08:51:41,WEB,PUSH,MEDIUM,True,FAILED,1.0.0,MX,3232,,0
N01311,E01311,FOLLOW,U0050,U0097,,,2026-04-13 11:33:41,WEB,IN_APP,LOW,False,SENT,1.1.0,CL,4836,,0
N00772,E00772,FOLLOW,U0071,U0054,,,2026-04-25 09:56:06,MOBILE,IN_APP,LOW,True,FAILED,1.1.0,AR,23290,,0
N00134,E01960,COMMENT,U0186,U0110,P0020,C01960,2026-05-05 14:13:08,WEB,PUSH,HIGH,False,SENT,2.0.0,AR,4100,duplicado_notification_id,1
N01109,E01109,FOLLOW,U0128,U0052,,,2026-04-21 08:30:30,MOBILE,PUSH,LOW,True,SENT,2.0.0,AR,2939,,0
N01533,E01533,LIKE,U0184,U0113,P0032,,2026-04-10 10:44:56,MOBILE,EMAIL,LOW,False,FAILED,1.1.0,CL,4480,,0
N01712,E01712,FOLLOW,U0047,U0108,,,2026-04-17 13:20:06,MOBILE,IN_APP,LOW,False,SENT,0.0.0,MX,19948,SENT requiere app_version >= 1.0.0,1
N01917,E01917,FOLLOW,U0181,U0130,,,2026-05-06 17:47:39,WEB,EMAIL,HIGH,True,PENDING,1.1.0,AR,13862,FOLLOW no puede tener priority HIGH,1
N01469,E01469,FOLLOW,U0050,U0009,,,2026-04-18 20:14:20,WEB,EMAIL,LOW,True,PENDING,1.1.0,PE,587,,0
N01066,E01066,FOLLOW,U0153,U0018,,,2026-04-13 14:08:09,MOBILE,PUSH,MEDIUM,True,PENDING,1.1.0,MX,13012,,0
N01260,E01260,LIKE,U0017,U0200,P0050,,2026-04-07 10:07:48,WEB,EMAIL,MEDIUM,True,FAILED,2.0.0,CL,15969,,0
N01905,E01905,LIKE,U0083,U0062,P0049,,2026-04-11 14:59:51,WEB,PUSH,MEDIUM,True,DELIVERED,1.1.0,MX,15712,status fuera de dominio,1
N00067,E00067,FOLLOW,U0151,U0006,,,2026-04-11 12:36:02,WEB,IN_APP,LOW,False,PENDING,1.1.0,MX,21000,,0
N01033,E01033,LIKE,U0083,U0110,P0025,,2026-04-20 16:47:12,WEB,EMAIL,LOW,False,SENT,1.0.0,AR,5456,,0
N00992,E00992,FOLLOW,U0069,U0046,,,2026-04-26 14:01:28,WEB,EMAIL,MEDIUM,True,FAILED,1.0.0,PE,24183,,0
N00194,E00194,LIKE,U0193,U0183,P0026,,2026-04-28 10:36:15,WEB,PUSH,HIGH,False,PENDING,1.1.0,CL,16609,,0
N01034,E01034,COMMENT,U0186,U0123,P0047,C01034,2026-04-22 08:49:42,WEB,IN_APP,MEDIUM,True,PENDING,2.0.0,CL,3523,,0
N01153,E01153,COMMENT,U0125,U0081,P0039,C01153,2026-05-01 21:51:41,MOBILE,IN_APP,LOW,False,FAILED,1.0.0,AR,17354,,0
N01137,E01137,FOLLOW,U0136,U0050,,,2026-04-11 11:45:31,WEB,EMAIL,LOW,False,FAILED,1.0.0,MX,6259,,0
N00665,E00665,LIKE,U0051,U0073,P0012,,2026-04-09 12:46:11,MOBILE,PUSH,MEDIUM,True,SENT,1.0.0,AR,8778,,0
N01147,E01147,COMMENT,U0156,U0075,P0010,C01147,2026-04-21 15:51:13,WEB,PUSH,MEDIUM,True,PENDING,1.1.0,PE,20858,,0
N00122,E00122,FOLLOW,U0038,U0112,,,2026-04-07 11:52:28,MOBILE,PUSH,MEDIUM,False,SENT,2.0.0,PE,7925,,0
N01601,E01601,COMMENT,U0047,U0115,P0049,C01601,2026-04-14 21:48:59,MOBILE,EMAIL,LOW,True,SENT,1.1.0,AR,505,,0
N01476,E01797,LIKE,U0145,U0053,P0029,,2026-04-18 20:06:37,MOBILE,EMAIL,LOW,False,PENDING,1.0.0,AR,3472,,0
N00415,E00415,LIKE,U0034,U0087,P0006,,2026-04-19 19:03:35,WEB,EMAIL,MEDIUM,True,PENDING,2.0.0,AR,4619,,0
N01941,E01941,LIKE,U0026,U0114,P0013,,2026-05-07 14:25:11,MOBILE,IN_APP,HIGH,True,PENDING,1.0.0,CL,-284,latency_ms no puede ser negativo,1
N00659,E00659,FOLLOW,U0114,U0048,,,2026-05-03 20:02:03,WEB,PUSH,LOW,False,FAILED,1.2.0,PE,19325,,0
N01264,E01264,COMMENT,U0143,U0198,P0030,C01264,2026-04-27 18:23:12,MOBILE,EMAIL,LOW,False,SENT,1.0.0,PE,761,,0
N01057,E01057,FOLLOW,U0119,U0172,,,2026-04-21 16:36:56,MOBILE,IN_APP,MEDIUM,False,PENDING,1.2.0,AR,19184,,0
N00916,E00916,LIKE,U0081,U0131,P0046,,2026-04-21 20:37:45,MOBILE,IN_APP,MEDIUM,False,FAILED,1.0.0,AR,12687,,0
N00632,E00632,FOLLOW,U0160,U0105,,,2026-04-30 14:21:34,WEB,EMAIL,LOW,False,FAILED,1.0.0,AR,23373,,0
N00784,E00784,FOLLOW,U0036,U0187,,,2026-04-18 09:24:24,MOBILE,PUSH,LOW,True,FAILED,1.0.0,AR,8337,,0
N01762,E01762,LIKE,U0012,U0038,P0007,,2026-04-08 09:24:30,IOS,EMAIL,HIGH,False,FAILED,1.2.0,MX,23560,device fuera de dominio,1
N01292,E01292,COMMENT,U0143,U0179,P0011,C01292,2026-04-14 09:40:36,WEB,PUSH,LOW,True,SENT,1.1.0,AR,24365,,0
N00893,E00893,LIKE,U0074,U0020,P0035,,2026-04-30 21:33:59,WEB,IN_APP,HIGH,False,FAILED,1.0.0,CL,19296,,0
N01657,E01997,COMMENT,U0052,U0182,P0049,C01997,2026-04-22 17:09:19,WEB,EMAIL,LOW,False,SENT,1.1.0,MX,21330,,0
N01026,E01026,COMMENT,U0154,U0070,P0032,C01026,2026-05-02 13:32:30,WEB,IN_APP,HIGH,False,PENDING,1.1.0,PE,9220,,0
N00132,E00132,COMMENT,U0022,U0187,P0028,C00132,2026-04-24 17:52:11,WEB,PUSH,HIGH,False,SENT,1.0.0,PE,21857,,0
N01235,E01235,LIKE,U0068,U0187,P0031,,2026-04-30 15:58:10,WEB,PUSH,HIGH,True,SENT,2.0.0,PE,20411,,0
N01461,E01461,FOLLOW,U0133,U0102,,,2026-04-15 15:35:08,MOBILE,EMAIL,LOW,True,FAILED,1.2.0,MX,646,,0
N00574,E00574,LIKE,U0077,U0054,P0011,,2026-04-17 13:56:51,WEB,EMAIL,HIGH,True,PENDING,1.0.0,MX,15636,,0
N01690,E01690,LIKE,U0125,U0108,P0014,,2026-05-03 21:32:55,WEB,EMAIL,LOW,False,FAILED,1.2.0,MX,4003,,0
N01956,E01956,COMMENT,U0068,U0012,P0020,C01956,2026-04-21 16:13:06,WEB,EMAIL,LOW,True,PENDING,2.0.0,CL,-796,latency_ms no puede ser negativo,1
N01804,E01804,COMMENT,U0127,U0163,P0025,C01804,2026-05-01 11:56:15,WEB,IN_APP,NONE,False,SENT,1.2.0,CL,5637,priority fuera de dominio,1
N01353,E01353,LIKE,U0102,U0076,P0033,,2026-04-11 09:27:17,MOBILE,PUSH,MEDIUM,True,PENDING,1.1.0,PE,3529,,0
N01120,E01120,FOLLOW,U0159,U0094,,,2026-04-20 21:48:50,WEB,EMAIL,MEDIUM,False,SENT,2.0.0,AR,15608,,0
N00567,E00567,FOLLOW,U0010,U0052,,,2026-04-29 10:01:16,MOBILE,PUSH,MEDIUM,True,FAILED,2.0.0,CL,2012,,0
N00599,E00599,FOLLOW,U0028,U0131,,,2026-04-24 09:29:42,WEB,EMAIL,MEDIUM,False,FAILED,1.0.0,CL,3933,,0
N01866,E01866,FOLLOW,U0034,U0002,,,2026-05-05 23:24:21,WEB,EMAIL,LOW,False,PENDING,1.0.0,MX,18939,EMAIL fuera de horario permitido (07-23),1
N01852,E01852,COMMENT,U0167,U0195,P0029,C01852,2027-01-27 12:00:00,WEB,PUSH,MEDIUM,True,FAILED,1.2.0,CL,11732,created_at no puede ser futuro,1
N01571,E01571,LIKE,U0103,U0170,P0004,,2026-04-12 12:42:25,WEB,IN_APP,LOW,False,PENDING,1.0.0,PE,24136,,0
N01516,E01516,FOLLOW,U0100,U0184,,,2026-04-22 12:02:49,WEB,EMAIL,LOW,False,FAILED,1.1.0,AR,21899,,0
N00864,E00864,LIKE,U0169,U0037,P0023,,2026-05-07 11:36:47,WEB,EMAIL,HIGH,False,SENT,1.0.0,AR,12579,,0
N00608,E00608,COMMENT,U0142,U0017,P0018,C00608,2026-04-24 15:07:31,WEB,IN_APP,HIGH,False,FAILED,2.0.0,CL,5486,,0
N00756,E00756,COMMENT,U0180,U0137,P0048,C00756,2026-04-30 19:42:58,MOBILE,EMAIL,HIGH,False,SENT,1.1.0,AR,2661,,0
N01570,E01570,LIKE,U0002,U0125,P0043,,2026-04-30 21:35:19,WEB,EMAIL,LOW,True,SENT,1.0.0,AR,12827,,0
N01237,E01237,LIKE,U0112,U0124,P0018,,2026-04-07 16:19:31,WEB,EMAIL,HIGH,True,FAILED,1.2.0,PE,3689,,0
N00373,E00373,LIKE,U0118,U0031,P0045,,2026-04-23 13:44:00,MOBILE,IN_APP,LOW,False,FAILED,1.0.0,PE,12048,,0
N00757,E01794,LIKE,U0152,U0110,P0009,,2026-04-12 16:01:22,MOBILE,PUSH,HIGH,True,SENT,1.2.0,PE,3164,,0
N01138,E01138,FOLLOW,U0002,U0021,,,2026-05-01 12:09:56,MOBILE,PUSH,LOW,True,SENT,1.1.0,PE,24981,,0
N01096,E01096,LIKE,U0160,U0010,P0035,,2026-04-12 12:59:18,WEB,PUSH,LOW,True,FAILED,1.1.0,CL,16507,,0
N00542,E00542,COMMENT,U0194,U0111,P0003,C00542,2026-05-04 08:50:42,MOBILE,PUSH,HIGH,False,SENT,1.2.0,CL,2370,,0
N00561,E00561,LIKE,U0128,U0163,P0005,,2026-05-01 12:16:03,WEB,IN_APP,MEDIUM,True,FAILED,1.0.0,CL,19594,,0
N00751,E00751,FOLLOW,U0174,U0137,,,2026-04-18 21:25:30,WEB,IN_APP,LOW,True,FAILED,1.1.0,AR,4875,,0
N00325,E00325,LIKE,U0076,U0115,P0012,,2026-05-05 10:11:47,MOBILE,IN_APP,HIGH,False,SENT,2.0.0,PE,18438,,0
N00598,E00598,COMMENT,U0077,U0039,P0009,C00598,2026-04-09 12:53:15,WEB,IN_APP,HIGH,False,FAILED,1.0.0,CL,1677,,0
N00061,E00061,FOLLOW,U0078,U0022,,,2026-05-04 16:48:26,WEB,PUSH,LOW,False,PENDING,1.2.0,MX,10206,,0
N00381,E00381,COMMENT,U0182,U0069,P0039,C00381,2026-04-25 12:56:28,WEB,IN_APP,MEDIUM,False,SENT,1.1.0,CL,4297,,0
N01575,E01575,LIKE,U0019,U0160,P0042,,2026-05-04 10:46:42,MOBILE,EMAIL,LOW,False,SENT,1.1.0,AR,24838,,0
N01022,E01022,FOLLOW,U0047,U0177,,,2026-04-10 11:14:44,MOBILE,IN_APP,MEDIUM,True,FAILED,1.2.0,PE,3193,,0
N00277,E00277,LIKE,U0038,U0146,P0038,,2026-04-13 09:59:06,MOBILE,IN_APP,HIGH,False,FAILED,1.2.0,MX,8855,,0
N00095,E00095,FOLLOW,U0114,U0019,,,2026-04-27 17:09:04,WEB,PUSH,LOW,False,PENDING,1.2.0,MX,16765,,0
N01195,E01195,FOLLOW,U0171,U0069,,,2026-04-21 08:19:56,WEB,IN_APP,LOW,True,PENDING,1.1.0,AR,21959,,0
N01032,E01032,COMMENT,U0015,U0105,P0023,C01032,2026-04-12 10:29:49,MOBILE,IN_APP,MEDIUM,True,SENT,1.2.0,PE,12438,,0
N01542,E01542,FOLLOW,U0036,U0190,,,2026-04-07 18:35:44,WEB,EMAIL,MEDIUM,True,SENT,1.0.0,MX,19668,,0
N00523,E00523,LIKE,U0030,U0011,P0021,,2026-05-03 15:16:23,MOBILE,IN_APP,LOW,True,FAILED,1.2.0,PE,5047,,0
,E01858,FOLLOW,U0152,U0154,,,2026-04-11 10:37:58,MOBILE,IN_APP,LOW,False,FAILED,2.0.0,MX,18418,notification_id vacio,1
N00123,E00123,COMMENT,U0021,U0096,P0015,C00123,2026-04-27 09:53:45,WEB,PUSH,HIGH,True,SENT,1.0.0,PE,15681,,0
N01168,E01901,LIKE,U0110,U0085,P0025,,2026-04-20 11:12:56,WEB,PUSH,MEDIUM,False,FAILED,2.0.0,MX,18122,duplicado_notification_id,1
N01593,E01593,COMMENT,U0146,U0111,P0020,C01593,2026-04-08 09:09:46,MOBILE,EMAIL,HIGH,True,SENT,1.1.0,PE,3694,,0
N00585,E00585,FOLLOW,U0095,U0034,,,2026-05-06 17:11:16,WEB,IN_APP,LOW,False,PENDING,1.1.0,CL,10597,,0
N01869,E01869,COMMENT,U0127,U0051,P0042,C01869,2026-05-05 15:22:03,WEB,PUSH,LOW,True,RETRY,1.1.0,CL,5004,status fuera de dominio,1
N00187,E00187,LIKE,U0185,U0140,P0032,,2026-04-08 16:41:03,MOBILE,PUSH,HIGH,True,FAILED,1.0.0,CL,13713,,0
N01298,E01298,COMMENT,U0024,U0149,P0008,C01298,2026-05-03 08:14:47,MOBILE,IN_APP,HIGH,False,PENDING,1.1.0,CL,17172,,0
N01731,E01731,COMMENT,U0005,U0003,P0019,C01731,2026-05-02 17:06:49,MOBILE,PUSH,HIGH,False,SENT,0.9.0,MX,2475,SENT requiere app_version >= 1.0.0,1
N01837,E01837,COMMENT,U0197,U0053,P0050,C01837,2026-04-23 09:29:47,WEB,PUSH,LOW,False,UNKNOWN,1.2.0,AR,13478,status fuera de dominio,1
